Time,,Page load time
2018/12/14 15:32:00,PST,325.0
2018/12/14 16:16:00,PST,839.0
2018/12/14 17:00:00,PST,405.0
2018/12/14 17:44:00,PST,332.0
2018/12/14 18:28:00,PST,357.0
2018/12/14 19:12:00,PST,351.0
2018/12/14 19:56:00,PST,376.0
2018/12/14 20:40:00,PST,622.0
2018/12/14 21:24:00,PST,302.0
2018/12/14 22:08:00,PST,349.0
2018/12/14 22:52:00,PST,391.0
2018/12/14 23:36:00,PST,399.0
2018/12/15 00:20:00,PST,452.0
2018/12/15 01:04:00,PST,291.0
2018/12/15 01:48:00,PST,284.0
2018/12/15 02:32:00,PST,381.0
2018/12/15 03:16:00,PST,417.0
2018/12/15 04:00:00,PST,404.0
2018/12/15 04:44:00,PST,306.0
2018/12/15 05:28:00,PST,349.0
2018/12/15 06:12:00,PST,259.0
2018/12/15 06:56:00,PST,415.0
2018/12/15 07:40:00,PST,363.0
2018/12/15 08:24:00,PST,273.0
2018/12/15 09:08:00,PST,345.0
2018/12/15 09:52:00,PST,344.0
2018/12/15 10:36:00,PST,388.0
2018/12/15 11:20:00,PST,333.0
2018/12/15 12:04:00,PST,781.0
2018/12/15 12:48:00,PST,665.0
2018/12/15 13:32:00,PST,410.0
2018/12/15 14:16:00,PST,494.0
2018/12/15 15:00:00,PST,459.0
2018/12/15 15:44:00,PST,378.0
2018/12/15 16:28:00,PST,593.0
2018/12/15 17:12:00,PST,404.0
2018/12/15 17:56:00,PST,428.0
2018/12/15 18:40:00,PST,407.0
2018/12/15 19:24:00,PST,724.0
2018/12/15 20:08:00,PST,395.0
2018/12/15 20:52:00,PST,446.0
2018/12/15 21:36:00,PST,380.0
2018/12/15 22:20:00,PST,392.0
2018/12/15 23:04:00,PST,499.0
2018/12/15 23:48:00,PST,451.0
2018/12/16 00:32:00,PST,329.0
2018/12/16 01:16:00,PST,420.0
2018/12/16 02:00:00,PST,289.0
2018/12/16 02:44:00,PST,565.0
2018/12/16 03:28:00,PST,356.0
2018/12/16 04:12:00,PST,302.0
2018/12/16 04:56:00,PST,1214.0
2018/12/16 05:40:00,PST,309.0
2018/12/16 06:24:00,PST,582.0
2018/12/16 07:08:00,PST,416.0
2018/12/16 07:52:00,PST,368.0
2018/12/16 08:36:00,PST,310.0
2018/12/16 09:20:00,PST,359.0
2018/12/16 10:04:00,PST,328.0
2018/12/16 10:48:00,PST,290.0
2018/12/16 11:32:00,PST,331.0
2018/12/16 12:16:00,PST,324.0
2018/12/16 13:00:00,PST,572.0
2018/12/16 13:44:00,PST,418.0
2018/12/16 14:28:00,PST,277.0
2018/12/16 15:12:00,PST,322.0
2018/12/16 15:56:00,PST,428.0
2018/12/16 16:40:00,PST,515.0
2018/12/16 17:24:00,PST,250.0
2018/12/16 18:08:00,PST,347.0
2018/12/16 18:52:00,PST,359.0
2018/12/16 19:36:00,PST,392.0
2018/12/16 20:20:00,PST,728.0
2018/12/16 21:04:00,PST,383.0
2018/12/16 21:48:00,PST,309.0
2018/12/16 22:32:00,PST,349.0
2018/12/16 23:16:00,PST,278.0
2018/12/17 00:00:00,PST,342.0
2018/12/17 00:44:00,PST,288.0
2018/12/17 01:28:00,PST,407.0
2018/12/17 02:12:00,PST,314.0
2018/12/17 02:56:00,PST,372.0
2018/12/17 03:40:00,PST,433.0
2018/12/17 04:24:00,PST,303.0
2018/12/17 05:08:00,PST,341.0
2018/12/17 05:52:00,PST,333.0
2018/12/17 06:36:00,PST,316.0
2018/12/17 07:20:00,PST,625.0
2018/12/17 08:04:00,PST,707.0
2018/12/17 08:48:00,PST,904.0
2018/12/17 09:32:00,PST,339.0
2018/12/17 10:16:00,PST,295.0
2018/12/17 11:00:00,PST,312.0
2018/12/17 11:44:00,PST,367.0
2018/12/17 12:28:00,PST,417.0
2018/12/17 13:12:00,PST,653.0
2018/12/17 13:56:00,PST,291.0
2018/12/17 14:40:00,PST,337.0
2018/12/17 15:24:00,PST,654.0
2018/12/17 16:08:00,PST,396.0
2018/12/17 16:52:00,PST,584.0
2018/12/17 17:36:00,PST,368.0
2018/12/17 18:20:00,PST,490.0
2018/12/17 19:04:00,PST,368.0
